case_id,learner_group,trace,risk_1,risk_2,risk_4,repair_profile
case_a3300cf13fb6a3627d10,learner_f0a0d20c22a700eb7d,"[{""program"":""let rec v3 ( v6 , v0 , v2 ) = failwith \""s205\"""",""diagnostic"":"""",""error_family"":""clear"",""repeat_count"":1},{""program"":""let rec v3 ( v6 , v0 , v2 ) = match v6 with | C0 -> v0 | C4 -> v2 | C2 v1 -> sin ( v4 +! v3 ( v1 ) ) | C1 v1 -> cos ( v4 +! v3 ( v1 ) ) | C6 v1 v8 -> ( ( ( v3 ( v1 ) +!! v3 ( v8 ) ) / 671 ) | C5 v1 v8 -> v3 ( v1 ) +! v3 ( v8 ) | C3 v1 v8 v7 v5 -> if ( v3 ( v1 ) < v3 ( v8 ) ) then v3 ( v7 ) else v3 ( v5 ) let v9 = v3 ( C2 ( C6 ( C0 , C4 ) ) , 672.0 , - 672.0 )"",""diagnostic"":""| C6 v1 v8 -> (((v3(v1) +!! v3(v8)) / N) ^ Error: Syntax error"",""error_family"":""syntax"",""repeat_count"":1},{""program"":""let rec v3 ( v6 , v0 , v2 ) = match v6 with | C0 -> v0 | C4 -> v2 | C2 ( v1 ) -> sin ( v4 +! v3 ( v1 ) ) | C1 ( v1 ) -> cos ( v4 +! v3 ( v1 ) ) | C6 ( v1 , v8 ) -> ( ( ( v3 ( v1 ) +!! v3 ( v8 ) ) / 671 ) | C5 ( v1 , v8 ) -> v3 ( v1 ) +! v3 ( v8 ) | C3 ( v1 , v8 , v7 , v5 ) -> if ( v3 ( v1 ) < v3 ( v8 ) ) then v3 ( v7 ) else v3 ( v5 ) let v9 = v3 ( C2 ( C6 ( C0 , C4 ) ) , 672.0 , - 672.0 )"",""diagnostic"":""| C6 (v1, v8) -> (((v3(v1) +!! v3(v8)) / N) ^ Syntax error: ')' expected, the highlighted '(' might be unmatched"",""error_family"":""syntax"",""repeat_count"":1}]",1,1,1,"[0.0634920635,0.2222222222,0.2063492063,0.507936508]"
case_aedff4d3bfec32b69db2,learner_c389af10e1db9fa30d,"[{""program"":""let rec v6 ( v0 , v2 , v1 ) = match v0 with | C4 -> v2 | C6 -> v1 | C5 v5 -> sin ( v6 ( v5 , v2 , v1 ) ) | C2 v5 -> cos ( v6 ( v5 , v2 , v1 ) ) | C0 ( v5 , v7 ) -> ( ( ( v6 ( v5 , v2 , v1 ) ) +! ( v6 ( v7 , v2 , v1 ) ) ) +!!! 726.0 ) | C1 ( v5 , v7 ) -> ( v6 ( v5 , v2 , v1 ) ) +!! ( v6 ( v7 , v2 , v1 ) ) | C3 ( v5 , v7 , v8 , v4 ) -> if v6 ( v5 , v2 , v1 ) < v6 ( v7 , v2 , v1 ) then v6 ( v8 , v2 , v1 ) else v6 ( v4 , v2 , v1 )"",""diagnostic"":"""",""error_family"":""clear"",""repeat_count"":1},{""program"":""let rec v6 ( v0 , v2 , v1 ) = match v0 with | C4 -> v2 | C6 -> v1 | C5 v5 -> sin ( v6 ( v5 , v2 , v1 ) ) | C2 v5 -> cos ( v6 ( v5 , v2 , v1 ) ) | C0 ( v5 , v7 ) -> ( ( v6 ( v5 , v2 , v1 ) +! v6 ( v7 , v2 , v1 ) ) ) +!!! 726.0 | C1 ( v5 , v7 ) -> v6 ( v5 , v2 , v1 ) +!! v6 ( v7 , v2 , v1 ) | C3 ( v5 , v7 , v8 , v4 ) -> if v6 ( v5 , v2 , v1 ) < v6 ( v7 , v2 , v1 ) then v6 ( v8 , v2 , v1 ) else v6 ( v4 , v2 , v1 )"",""diagnostic"":"""",""error_family"":""clear"",""repeat_count"":5},{""program"":""let rec v6 ( v0 , v2 , v1 ) = match v0 with | C4 -> v2 | C6 -> v1 | C5 v5 -> sin ( v3 * v6 ( v5 , v2 , v1 ) ) | C2 v5 -> cos ( v3 * v6 ( v5 , v2 , v1 ) ) | C0 ( v5 , v7 ) -> ( ( v6 ( v5 , v2 , v1 ) +! v6 ( v7 , v2 , v1 ) ) ) +!!! 726.0 | C1 ( v5 , v7 ) -> v6 ( v5 , v2 , v1 ) +!! v6 ( v7 , v2 , v1 ) | C3 ( v5 , v7 , v8 , v4 ) -> if v6 ( v5 , v2 , v1 ) < v6 ( v7 , v2 , v1 ) then v6 ( v8 , v2 , v1 ) else v6 ( v4 , v2 , v1 )"",""diagnostic"":""| C5 v5 -> sin (v3*v6 (v5, v2, v1)) ^^ Error: This expression has type float but an expression was expected of type int"",""error_family"":""typing"",""repeat_count"":1}]",0,0,0,"[0.5,0.5,0.0,0.0]"
case_889d98502a8d5c83293a,learner_c389af10e1db9fa30d,"[{""program"":""let rec v2 v1 = if ( v1 < 697 ) then v1 else let v5 = v6 ( v0 ( v3 v1 ) ) in v1"",""diagnostic"":"""",""error_family"":""clear"",""repeat_count"":1},{""program"":""let rec v2 v1 = if ( v1 < 697 ) then v1 else v6 ( v0 ( v3 v1 ) )"",""diagnostic"":"""",""error_family"":""clear"",""repeat_count"":1},{""program"":""let rec v2 v1 = if ( v1 < 697 ) then v4 = v1 else v6 ( v0 ( v3 v1 ) )"",""diagnostic"":""Error: Unbound value v4 Error: Unbound value v0 MINIMAL PROGRAM DIFFERENT ERROR!!!!!! then v4 = v1 ^^^^^^^ Error: Unbound value v4"",""error_family"":""name"",""repeat_count"":1}]",1,0,0,"[0.0,0.0,1.0,0.0]"
case_f41c8080208bf95eeb5f,learner_834528335acafb500c,"[{""program"":""let rec v8 v11 = match v11 with | C1 -> Printf . v2 \""s655\"" | C2 -> Printf . v2 \""s655\"" | C3 ( v10 ) -> Printf . v2 \""s655\"" ( v8 v10 ) | C0 ( v7 ) -> Printf . v2 \""s655\"" v7 | C4 ( v13 , v15 ) -> Printf . v2 \""s658\"" v13 v15 | C5 ( v9 , v1 ) -> Printf . v2 \""s658\"" v9 v1 | C6 ( v0 , v3 , v6 , v4 ) -> Printf . v2 \""s657\"" v0 v3 v6 v4 | v12 -> \""s656\"""",""diagnostic"":""| C3 (v1N) -> Printf.v2\""s\"" (v8 v1N) ^^^^^^^^^^^^^^^^^ Error: This expression has type string -> string but an expression was expected of type string"",""error_family"":""typing"",""repeat_count"":1},{""program"":""let rec v8 v11 = match v11 with | C1 v5 -> v5 | C2 v14 -> v14 | C3 ( v10 ) -> Printf . v2 \""s655\"" ( v8 v10 ) | C0 ( v7 ) -> Printf . v2 \""s655\"" v7 | C4 ( v13 , v15 ) -> Printf . v2 \""s658\"" v13 v15 | C5 ( v9 , v1 ) -> Printf . v2 \""s658\"" v9 v1 | C6 ( v0 , v3 , v6 , v4 ) -> Printf . v2 \""s657\"" v0 v3 v6 v4 | v12 -> \""s656\"""",""diagnostic"":""| C1 v5 -> v5 ^^^^^^ Error: The constructor C1 expects N argument(s), but is applied here to N argument(s)"",""error_family"":""typing"",""repeat_count"":1},{""program"":""let rec v8 v11 = match v11 with | C1 -> v11 | C2 v14 -> v14 | C3 ( v10 ) -> Printf . v2 \""s655\"" ( v8 v10 ) | C0 ( v7 ) -> Printf . v2 \""s655\"" v7 | C4 ( v13 , v15 ) -> Printf . v2 \""s658\"" v13 v15 | C5 ( v9 , v1 ) -> Printf . v2 \""s658\"" v9 v1 | C6 ( v0 , v3 , v6 , v4 ) -> Printf . v2 \""s657\"" v0 v3 v6 v4 | v12 -> \""s656\"""",""diagnostic"":""| C2 v1N -> v1N ^^^^^^ Error: The constructor C2 expects N argument(s), but is applied here to N argument(s)"",""error_family"":""typing"",""repeat_count"":1}]",1,1,1,"[0.1,0.1,0.4,0.4]"
case_6988da339a02c59147b3,learner_c6f0e0f5ddc4cb7834,"[{""program"":""let v1 ( v4 , v3 ) = v2 ( let v5 v6 = let v0 = v4 v3 in ( v0 , v0 = v3 ) in v5 , v3 )"",""diagnostic"":"""",""error_family"":""clear"",""repeat_count"":1},{""program"":""let v1 ( v4 , v3 ) = v2 ( let v5 v3 = let v0 = v4 v3 in ( v0 , v0 = v3 ) in v5 , v3 )"",""diagnostic"":"""",""error_family"":""clear"",""repeat_count"":1},{""program"":""let v1 ( v4 , v3 ) = v2 ( let v0 = v4 v3 in ( v0 , v0 = v3 ) in v5 , v3"",""diagnostic"":""let v1 (v4,v3) = v2 (let v0 = v4 v3 in (v0, v0 = v3) in v5, v3;; ^ Syntax error: ')' expected, the highlighted '(' might be unmatched"",""error_family"":""syntax"",""repeat_count"":1}]",0,0,0,"[0.0,0.8,0.0,0.2]"
case_ab2304184bcf728e5686,learner_4561404ba13fa0c0a9,"[{""program"":""let v4 v6 = let v1 v0 v3 = v3 ( v0 ) in let v5 = 217 in List . fold_left v1 v5 v6"",""diagnostic"":"""",""error_family"":""clear"",""repeat_count"":1},{""program"":""let v4 v6 = let v1 v0 v3 = v3 ( v0 ) in let v5 = 217 ( + ) in List . fold_left v1 v5 v6"",""diagnostic"":""let v5 = N(+) in ^ Error: This expression has type int This is not v0 function; it cannot be applied."",""error_family"":""typing"",""repeat_count"":2},{""program"":""let v4 v6 = let v1 v0 v3 = v3 ( v0 v2 ) in let v5 = v2 in List . fold_left v1 v5 v6"",""diagnostic"":""let v1 v0 v3 = v3 (v0 v2) in ^ Error: Unbound value v2"",""error_family"":""name"",""repeat_count"":1}]",1,0,0,"[0.0,0.2,0.8,0.0]"
case_d243d3c2124e5c0f8824,learner_dd92fe23693bbe1115,"[{""program"":""let v7 v0 = let v5 v1 v6 = v6 ( v1 ) in let v2 = function v3 -> v3 in List . fold_left v5 v2 v0"",""diagnostic"":"""",""error_family"":""clear"",""repeat_count"":1},{""program"":""let v7 v0 = let v5 v1 v6 = function -> v6 ( v1 ) in let v2 = function v3 -> v3 in List . fold_left v5 v2 v0"",""diagnostic"":""let v5 v1 v6 = function -> v6(v1) in ^^ Error: Syntax error"",""error_family"":""syntax"",""repeat_count"":1},{""program"":""let v7 v0 = let v5 v1 v6 = function v4 -> v4 v6 ( v1 ) in let v2 = function v3 -> v3 in List . fold_left v5 v2 v0"",""diagnostic"":""List.fold_left v5 v2 v0;; ^ Error: This expression has type 'a -> 'b -> ('b -> 'a -> 'c) -> 'c but an expression was expected of type 'a -> 'b -> 'a The type variable 'a occurs inside ('b -> 'a -> 'c) -> 'c"",""error_family"":""typing"",""repeat_count"":1}]",1,0,0,"[0.0,0.6666666667,0.3333333333,0.0]"
case_2f95ead62ba452dc2a43,learner_6d3df0cd681260acd4,"[{""program"":""let rec v9 v4 v2 = match v2 with | [ ] -> \""s672\"" | v0 :: v5 -> let v6 v3 v1 = v3 ^ v4 ^ v1 in let v7 = \""s672\"" in let v8 = v2 in List . fold_left v6 v7 v8"",""diagnostic"":"""",""error_family"":""clear"",""repeat_count"":1},{""program"":""let rec v9 v4 v2 = match v2 with | [ ] -> \""s672\"" | v0 :: v5 -> let v6 v3 v1 = v3 ^ v1 ^ v4 in let v7 = \""s672\"" in let v8 = v2 in List . fold_left v6 v7 v8"",""diagnostic"":"""",""error_family"":""clear"",""repeat_count"":1},{""program"":""let rec v9 v4 v2 = match v2 with | [ ] -> \""s672\"" | v0 :: v5 -> let v6 v3 v1 = if v1 . length < 412 then v3 ^ v1 in let v7 = \""s672\"" in let v8 = v2 in List . fold_left v6 v7 v8"",""diagnostic"":""if v1.length < N ^^^^^^ Error: Unbound record field length"",""error_family"":""name"",""repeat_count"":1}]",1,1,1,"[0.0,0.1,0.9,0.0]"
case_7592356e12f8094fb4e9,learner_9bb50ce13ae090f52f,"[{""program"":""let rec v13 ( v2 , v1 ) = match v1 with ( 215 -> match v2 ( 214 , 220 ) with 214 -> v6 | 220 -> v4 ) | v9 -> let v10 = v13 ( v2 , v1 - 214 ) in match v2 ( 214 , 217 ) with | 214 -> v7 v10 | 220 -> v11 v10 | 213 -> v3 ( v10 , v10 ) | 216 -> v5 ( v10 , v10 ) | 218 -> v12 ( v10 , v10 , v10 , v10 ) | 219 -> v8 v10 | 217 -> v0 ( v10 , v10 , v10 )"",""diagnostic"":""( N -> match v2 (N, N) with ^ Syntax error: ')' expected, the highlighted '(' might be unmatched"",""error_family"":""syntax"",""repeat_count"":1},{""program"":""let rec v13 ( v2 , v1 ) = match v1 with 215 -> match v2 ( 214 , 220 ) with 214 -> v6 | 220 -> v4"",""diagnostic"":"""",""error_family"":""clear"",""repeat_count"":1},{""program"":""let rec v13 ( v2 , v1 ) = match v1 with 215 -> match v2 ( 214 , 220 ) with 214 -> v6 | 220 -> v4 | v9 -> let v10 = v13 ( v2 , v1 - 214 ) in match v2 ( 214 , 217 ) with | 214 -> v7 v10 | 220 -> v11 v10 | 213 -> v3 ( v10 , v10 ) | 216 -> v5 ( v10 , v10 ) | 218 -> v12 ( v10 , v10 , v10 , v10 ) | 219 -> v8 v10 | 217 -> v0 ( v10 , v10 , v10 )"",""diagnostic"":""| N-> v7 v1N ^^^^ Error: This expression has type unit -> expr but an expression was expected of type expr"",""error_family"":""typing"",""repeat_count"":1}]",1,0,0,"[0.6,0.4,0.0,0.0]"
case_c314c83e78b954fd198f,learner_173aa42c0749e26ea8,"[{""program"":""let rec v3 v2 = if v2 > 206 then let v1 = v3 ( v2 / 207 ) in ( v2 mod 207 ) :: v1 else [ ]"",""diagnostic"":"""",""error_family"":""clear"",""repeat_count"":1},{""program"":""let rec v3 v2 = if v2 > 206 then v3 ( v2 / 207 ) @ [ v2 mod 207 ] else [ ]"",""diagnostic"":"""",""error_family"":""clear"",""repeat_count"":9},{""program"":""let rec v3 v2 = if v2 > 206 then let result = [ ] in let rec v0 v2 result = if v2 > 206 then ( v2 mod 207 ) :: v0 ( v2 / 207 ) result else result else [ ]"",""diagnostic"":""else ^^^^ Error: Syntax error"",""error_family"":""syntax"",""repeat_count"":1}]",1,1,1,"[0.8333333333,0.0,0.0,0.1666666667]"
case_ba8313eb26b602ac3156,learner_75c84547f902dac163,"[{""program"":""let rec v6 ( v5 , v7 ) = let v10 = v3 ( v5 ) in if v7 = 160 then v1 ( ) else match v10 with | 157 -> v2 ( v6 ( v5 , v7 - 163 ) ) | 156 -> v0 ( v6 ( v5 , v7 - 163 ) ) | 161 -> v4 ( v6 ( v5 , v7 - 163 ) , v6 ( v5 , v7 - 163 ) ) | 159 -> v9 ( v6 ( v5 , v7 - 163 ) , v6 ( v5 , v7 - 163 ) ) | 158 -> v8 ( v6 ( v5 , v7 - 163 ) , v6 ( v5 , v7 - 163 ) , v6 ( v5 , v7 - 163 ) , v6 ( v5 , v7 - 163 ) )"",""diagnostic"":""let v1N = v3(v5) in ^^^^^^^^ Error: Unbound value v3"",""error_family"":""name"",""repeat_count"":1},{""program"":""let rec v6 ( v5 , v7 ) = let v10 = v3 ( v5 ) in if v7 = 160 then v1 ( ) else match v10 with | 157 -> v2 ( v6 ( v5 , v7 - 163 ) ) | 156 -> v0 ( v6 ( v5 , v7 - 163 ) ) | 161 -> v4 ( v6 ( v5 , v7 - 163 ) , v6 ( v5 , v7 - 163 ) ) | 159 -> v9 ( v6 ( v5 , v7 - 163 ) , v6 ( v5 , v7 - 163 ) ) | 158 -> v8 ( v6 ( v5 , v7 - 163 ) , v6 ( v5 , v7 - 163 ) , v6 ( v5 , v7 - 163 ) , v6 ( v5 , v7 - 163 ) )"",""diagnostic"":""| N -> v2(v6(v5, v7 - N)) ^ Error: This pattern matches values of type int but a pattern was expected which matches values of type int * int -> int"",""error_family"":""typing"",""repeat_count"":1},{""program"":""let rec v6 ( v5 , v7 ) = if v7 = 160 then match v5 ( 160 , 157 ) | 160 -> v1 ( ) | 163 -> v11 ( ) else match v5 ( 157 , 162 ) with | 157 -> v2 ( v6 ( v5 , v7 - 163 ) ) | 156 -> v0 ( v6 ( v5 , v7 - 163 ) ) | 161 -> v4 ( v6 ( v5 , v7 - 163 ) , v6 ( v5 , v7 - 163 ) ) | 159 -> v9 ( v6 ( v5 , v7 - 163 ) , v6 ( v5 , v7 - 163 ) ) | 158 -> v8 ( v6 ( v5 , v7 - 163 ) , v6 ( v5 , v7 - 163 ) , v6 ( v5 , v7 - 163 ) , v6 ( v5 , v7 - 163 ) )"",""diagnostic"":""| N -> v1() ^ Error: Syntax error"",""error_family"":""syntax"",""repeat_count"":1}]",0,0,0,"[1.0,0.0,0.0,0.0]"
